title;name;verb;what;how;whatagain;whatfor
Online Qualifikant;Peter Müller;erhält hiermit;das Zertifikat;für außergewöhnliche;Verbesserung;im selbstorganisierten Sort Algorythmus Wettbewerb.
Systemdesigner/in;Katrin Meyer;bekommt in Ehren übberreicht:;unser Zeugnis;für unnachgiebige intrinsische;Optimierung;der Effizienz.
Katalysator;;erhält als Auszeichnung:;diesen Schein;für kontinuierliche;Skalierung;der agilen Weltverbesserung
Perserezipetator;;bescheinigen wir hiermit;das positive Testergebnis;für respektvolle;Unterstützung;des allumfassenden Parallelweltenvergleichs.
Katalyseinspirator;;hat ehrlich verdient:;das Abschlusszeugnis;für mutige;Steigerung;der digitalen Exzellenz.
Exzellenz Berater;;bekommt unter höchster Anerkennung;die Praxisteilbescheinigung;für vertrauensvolle;Wertoptimierung;der robusten Unternehmensentwicklung.
Excel Lens Berater;;kriegt;die Leistungsbestätigung;für nachhaltige;Spezialisierung;der crossfunktionalen Teamausrichtung.
Kurbelantreiber/in;;hat sich heute bewiesen und erhält;den Gesellenbrief;für zukunftsorientierte;Wertmaximierung;der inhouse Networking Capabilities.
Mechametaintronisator;;;den Doktortitel;für kostenbewusste;Rentabilitätsverbesserung;der Hamburger Straßenähnlichkeit.
Instrumentator;;;den Titel;für erfolgreiche;Realitätsverbesserung;der künstlichen Intelligenz.
Agilisator;;;;für 100% tige ;;des KI Business Value Hubs.
Scrumbanifikant;;;;für konsequent agile;;der effektiven machine learning application integration.
Kanbanisator;;;;für zielbewusste;;des Gamification Ansatzes.
KVP Master;;;;für effektive;;des Collaboration Pokers.
Supifikant;;;;für time to market optimierte;;des Doppelkopfwettbewerbes.
Zukunftsforscher;;;;;;der Communities of Practice (CoP). 
PSPOPPPOE XIII;;;;;;der Sprintzielerreichung.
SM - Scrum Macher;;;;;;der selbstorganisierten Organisationsentwicklung.
;;;;;;des Unternehmenskulturwandels.
;;;;;;der eigenen servant leader Haltung.
;;;;;;der kritischen Selbstbetrachtung.
;;;;;;der agilen Transition.
;;;;;;des delegation Boards.
;;;;;;des Leadership Coachings.
;;;;;;der betrieblichen KPIs.
;;;;;;der Customer Experience.
;;;;;;der User Experience.
;;;;;;der Customer Journey.
